,nome_ocorrencia,qnt_ocorrencia,freq_ocorrencia
5,Hipertensao essencial (primaria),270,15.025041736227045
17,Insuficiencia cardiaca congestiva,144,8.013355592654424
16,"Dor toracica, nao especificada",72,4.006677796327212
13,Diabetes mellitus nao especificado sem complicacoes,60,3.33889816360601
32,"Hipertensao secundaria, nao especificada",55,3.060656649972176
19,Dispneia,45,2.5041736227045077
10,Cefaleia,44,2.448525319977741
45,Palpitacoes,41,2.2815804117974405
28,Transtorno ansioso nao especificado,41,2.2815804117974405
12,Hipotensao nao especificada,38,2.11463550361714
33,Mialgia,37,2.058987200890373
11,Outras formas de doenca isquemica cronica do coracao,35,1.9476905954368393
51,Broncopneumonia nao especificada,34,1.8920422927100722
4,Outras formas de doenca isquemica aguda do coracao,32,1.7807456872565388
8,"""Flutter"" e fibrilacao atrial",31,1.725097384529772
47,Diarreia e gastroenterite de origem infecciosa presumivel,27,1.5025041736227045
71,Presenca de marca-passo cardiaco,27,1.5025041736227045
59,Doenca pulmonar obstrutiva cronica nao especificada,27,1.5025041736227045
14,Disturbio nao especificado do metabolismo de lipoproteinas,25,1.3912075681691707
37,Infarto agudo do miocardio nao especificado,24,1.335559265442404
31,Angina instavel,23,1.279910962715637
6,Doenca de Chagas,21,1.1686143572621035
46,Tosse,20,1.1129660545353366
50,Sincope e colapso,20,1.1129660545353366
9,Tontura e instabilidade,19,1.05731775180857
96,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",17,0.9460211463550361
104,Arritmia cardiaca nao especificada,16,0.8903728436282694
1,Miosite nao especificada,16,0.8903728436282694
65,Ansiedade generalizada,14,0.7790762381747357
70,Dor precordial,14,0.7790762381747357
58,"Mal estar, fadiga",13,0.7234279354479688
114,Outros disturbios do metabolismo de lipoproteinas,13,0.7234279354479688
34,Bronquite nao especificada como aguda ou cronica,13,0.7234279354479688
41,Infeccao aguda das vias aereas superiores nao especificada,12,0.667779632721202
44,Taquicardia nao especificada,12,0.667779632721202
103,Celulite nao especificada,11,0.6121313299944352
88,Dor em membro,11,0.6121313299944352
80,Asma nao especificada,10,0.5564830272676683
27,Doenca isquemica cronica do coracao nao especificada,10,0.5564830272676683
61,Asma,10,0.5564830272676683
131,"Hipertensao pre-existente complicando a gravidez, o parto e o puerperio",9,0.5008347245409015
128,Outros transtornos ansiosos,9,0.5008347245409015
199,Tireotoxicose nao especificada,9,0.5008347245409015
54,Exame medico geral,7,0.38953811908736785
66,Dor abdominal e pelvica,7,0.38953811908736785
82,Nasofaringite aguda [resfriado comum],7,0.38953811908736785
57,"Enxaqueca, sem especificacao",6,0.333889816360601
81,hipotensão ortostática,6,0.333889816360601
0,Pessoa com medo de uma queixa para a qual nao foi feito diagnostico,6,0.333889816360601
38,Insuficiencia mitral reumatica,6,0.333889816360601
30,Cardiomegalia,6,0.333889816360601
26,Labirintite,6,0.333889816360601
64,Pneumonia nao especificada,5,0.27824151363383415
62,Outros disturbios funcionais subsequentes a cirurgia cardiaca,5,0.27824151363383415
77,Taquicardia supraventricular,5,0.27824151363383415
84,Dispepsia,5,0.27824151363383415
7,Dor lombar baixa,5,0.27824151363383415
15,"Angina pectoris, nao especificada",5,0.27824151363383415
94,Comunicacao interatrial,5,0.27824151363383415
99,Doenca isquemica cronica do coracao,5,0.27824151363383415
168,Outras formas especificadas de doenca pulmonar obstrutiva cronica,5,0.27824151363383415
120,Estenose congenita da valva pulmonar,5,0.27824151363383415
132,Outras formas de despolarizacao prematura e as nao especificadas,5,0.27824151363383415
149,Angina pectoris,5,0.27824151363383415
143,Parestesias cutaneas,5,0.27824151363383415
113,Episodio depressivo nao especificado,5,0.27824151363383415
100,Efeito toxico de substancia nao especificada,4,0.22259321090706735
150,Distorbios do metabolismo de lipoproteinas e outras lipidemias,4,0.22259321090706735
173,Dor localizada no abdome superior,4,0.22259321090706735
187,Outras afeccoes especificadas das arterias e das arteriolas,4,0.22259321090706735
135,Gravidez confirmada,4,0.22259321090706735
197,Insuficiencia aortica reumatica,4,0.22259321090706735
133,"Transtorno afetivo bipolar, episodio atual depressivo leve ou moderado",4,0.22259321090706735
