,nome_ocorrencia,qnt_ocorrencia,freq_ocorrencia
0,Hipertensao essencial (primaria),147,17.053364269141532
6,Insuficiencia cardiaca congestiva,88,10.208816705336426
4,"Dor toracica, nao especificada",57,6.612529002320186
8,Transtorno ansioso nao especificado,34,3.944315545243619
17,Palpitacoes,33,3.82830626450116
9,"Hipertensao secundaria, nao especificada",28,3.248259860788863
10,Mialgia,24,2.784222737819025
68,Diabetes mellitus nao especificado sem complicacoes,23,2.668213457076566
23,Cefaleia,21,2.436194895591647
27,Dispneia,20,2.320185614849188
43,Broncopneumonia nao especificada,20,2.320185614849188
56,Doenca pulmonar obstrutiva cronica nao especificada,18,2.088167053364269
64,Presenca de marca-passo cardiaco,17,1.9721577726218096
1,Doenca de Chagas,17,1.9721577726218096
32,Sincope e colapso,16,1.8561484918793503
49,Arritmia cardiaca nao especificada,15,1.740139211136891
42,"""Flutter"" e fibrilacao atrial",14,1.6241299303944314
46,"Acidente vascular cerebral, nao especificado como hemorragico ou isquemico",11,1.2761020881670533
15,Miosite nao especificada,11,1.2761020881670533
35,Angina instavel,11,1.2761020881670533
30,Dor precordial,11,1.2761020881670533
12,Bronquite nao especificada como aguda ou cronica,10,1.160092807424594
31,Infarto agudo do miocardio nao especificado,10,1.160092807424594
2,Tontura e instabilidade,10,1.160092807424594
11,Outras formas de doenca isquemica cronica do coracao,10,1.160092807424594
18,Tosse,10,1.160092807424594
67,"Hipertensao pre-existente complicando a gravidez, o parto e o puerperio",9,1.0440835266821344
7,Doenca isquemica cronica do coracao nao especificada,9,1.0440835266821344
21,"Mal estar, fadiga",9,1.0440835266821344
74,Dor em membro,6,0.6960556844547563
39,hipotensão ortostática,6,0.6960556844547563
70,Outras formas de despolarizacao prematura e as nao especificadas,5,0.580046403712297
3,"Angina pectoris, nao especificada",5,0.580046403712297
14,Insuficiencia mitral reumatica,5,0.580046403712297
71,"Transtorno afetivo bipolar, episodio atual depressivo leve ou moderado",4,0.46403712296983757
63,Outros disturbios do metabolismo de lipoproteinas,4,0.46403712296983757
98,Outras afeccoes especificadas das arterias e das arteriolas,4,0.46403712296983757
84,Dispepsia,4,0.46403712296983757
52,Ansiedade generalizada,4,0.46403712296983757
92,Dor localizada no abdome superior,4,0.46403712296983757
44,Outras formas de doenca isquemica aguda do coracao,4,0.46403712296983757
55,Episodio depressivo nao especificado,4,0.46403712296983757
105,Sopros e outros ruidos cardiacos,4,0.46403712296983757
20,"Gastroduodenite, sem outra especificacao",4,0.46403712296983757
79,Exame medico geral,3,0.34802784222737815
66,Taquicardia nao especificada,3,0.34802784222737815
37,Taquicardia supraventricular,3,0.34802784222737815
58,Hipotensao nao especificada,3,0.34802784222737815
16,Bloqueio atrioventricular de segundo grau,3,0.34802784222737815
90,Doenca de refluxo gastroesofagico sem esofagite,2,0.23201856148491878
28,Febre nao especificada,2,0.23201856148491878
59,Nausea e vomitos,2,0.23201856148491878
97,Infarto agudo do miocardio,2,0.23201856148491878
5,Estenose (da valva) aortica,2,0.23201856148491878
54,Labirintite,2,0.23201856148491878
85,Doenca nao especificada da valva mitral,2,0.23201856148491878
